Reacion_Rate(1/min),HCl_%W(weight percent),Perm_mean(md),Porosity_mean,Qinjection(cc/min),So,Temprature©,Pressure(Kpa),PVBT
6.95E+01,1.806302759,1.4,0.175,1,0,22,2108,1.6641981
6.95E+01,1.806302759,100,0.175,5,0,22,6895,23.448109
3.00E+02,8.712788304,1.4,0.175,0.3,0.5,40,6895,0.90770098
6.95E+01,8.712788304,1.4,0.175,10,0.7,22,6895,1.0093797
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,6895,2.4205943
2.36E+01,1.806302759,1.4,0.175,1,0.4,10,6895,1.7653253
10,15,10,0.2,1,0.4,40,1305,0.8
10,15,10,0.2,3,0.4,40,1305,0.34
2.36E+01,1.806302759,1.4,0.175,1,0.475,10,2900,1.7653253
6.95E+01,16.68935945,1.4,0.175,0.3,0.5,22,6895,0.33287747
6.95E+01,1.806302759,0.5,0.175,50,0,22,6895,630.35401
4.21E+00,26.33224317,1.4,0.175,1,0,22,6895,0.35291983
2.27E+01,1.357831526,20,0.5,0.2,0.5,10,1000,0.37065053
2.36E+01,1.806302759,1.4,0.175,50,0,10,6895,14.342368
2.82E+01,1.357831526,5,0.1,1.6,0.45,10,4800,7.483610691
2.36E+01,3.579866439,1.4,0.175,50,0.5,10,6895,10.591948
10,15,10,0.2,50,0.4,40,1305,3.7
2.03E+02,1.806302759,1.4,0.175,200,0,35,6895,8.225248
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,11313,2.4205943
3.25E+02,22.29089222,2,0.3,2.44,0.425,46,16200,0.143553538
2.36E+01,1.806302759,1.4,0.175,1,0.5,10,6895,1.7653253
1.35E+03,1.806302759,1.4,0.175,100,0,61,6895,2.4322575
1.27E+03,62.36710207,1.4,0.175,0.3,0.5,60,6895,0.25728289
6.85E+03,1.806302759,1.4,0.175,0.8,0,87,6895,11.739595
6.95E+01,1.806302759,1.4,0.175,10,0,22,770,2.5212725
4.21E+00,26.33224317,1.4,0.175,0.3,0,22,6895,0.19672012
2.36E+01,1.806302759,1.4,0.175,10,0.5,10,6895,6.0490166
6.95E+01,62.36710207,1.4,0.175,10,0.5,22,6895,0.5
6.95E+01,3.579866439,1.4,0.175,10,0.3,22,6895,1.6138426
10,15,10,0.2,5,0.4,40,1305,0.7
6.95E+01,1.806302759,1.4,0.175,10,0,22,7575,2.5212725
4.21E+00,33.61576718,1.4,0.175,0.3,0,22,6895,0.16643873
6.95E+01,26.33224317,1.4,0.175,50,0,22,6895,0.50781644
4.21E+00,1.806302759,1.4,0.175,0.3,0,22,6895,2.4508321
10,15,10,0.2,5,0.4,40,1305,0.38
3.61E+03,12.4143255,50,0.5,1.6,0.5,73,14300,0.367120524
6.95E+01,40.30477032,1.4,0.175,1,0,22,6895,0.10093797
6.95E+01,13.05252313,1.4,0.175,50,0,22,6895,0.91864178
10,15,10,0.2,5,0.4,40,1305,0.7236
6.95E+01,8.712788304,1.4,0.175,1,0.3,22,6895,0.40343252
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,30000,2.5416239
6.95E+01,1.806302759,1.4,0.175,50,0,22,3838,5.0425282
6.95E+01,1.806302759,1.4,0.3,20,0,22,6895,147.0826
6.95E+01,16.68935945,1.4,0.175,1,0.3,22,6895,0.20171626
6.95E+01,16.68935945,1.4,0.175,0.3,0.3,22,6895,0.33287747
4.36E+03,1.806302759,1.4,0.175,50,0.5,60,6895,257.18608
2.44E+03,1.806302759,1.4,0.175,1,0.5,70,6895,5.6480535
4.21E+00,23.07644806,1.4,0.175,1,0,22,6895,0.35291983
3.00E+02,3.579866439,1.4,0.175,10,0.5,40,6895,1.0093797
6.95E+01,1.806302759,1.4,0.175,10,0,22,6895,2.5198184
6.95E+01,1.806302759,1.4,0.175,1,0.5,22,6895,8.2702975
1.27E+03,1.806302759,1.4,0.175,0.3,0.5,60,6895,4.5385054
4.21E+00,9.450202689,1.4,0.175,10,0,22,6895,3.3959237
6.85E+03,1.806302759,1.4,0.175,0.3,0,87,6895,6.0514856
1.27E+03,1.806302759,1.4,0.175,50,0.5,60,6895,3.5506354
2.63E+03,1.806302759,1.4,0.175,30,0.5,20,6895,205.74887
10,15,10,0.2,30,0.4,40,1305,2.46
1.42E+04,1.806302759,1.4,0.175,5,0,100,6895,9.0771558
10,15,10,0.2,50,0.4,40,1305,6
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,6895,3.8124054
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,3000,2.4205943
6.85E+03,1.806302759,1.4,0.175,200,0,87,6895,2.3311481
6.95E+01,46.46919029,1.4,0.175,10,0,22,6895,0.14315011
6.95E+01,1.806302759,1.4,0.175,1,0,22,6895,1.7653253
6.95E+01,1.806302759,0.5,0.175,10,0,22,6895,6.5573374
10,15,10,0.2,0.3,0.4,40,1305,1.1
6.95E+01,1.806302759,500,0.175,9.9,0,22,6895,2.9978577
4.21E+00,9.450202689,1.4,0.175,50,0,22,6895,12.599092
1.27E+03,62.36710207,1.4,0.175,1,0.5,60,6895,0.15104387
6.20E+02,22.29089222,50,0.25,2.16,0.5,55,4800,0.152496218
2.36E+01,1.806302759,1.4,0.175,50,0.5,10,6895,20.187595
1.27E+03,3.579866439,1.4,0.175,10,0.5,60,6895,1.0093797
3.00E+02,3.579866439,1.4,0.175,50,0.5,40,6895,1.7653387
10,15,10,0.2,3,0.4,40,1305,0.32
10,15,10,0.2,0.3,0.4,40,1305,1.5
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,6895,2.5416239
6.95E+01,62.36710207,1.4,0.175,1,0.3,22,6895,0.050105901
6.95E+01,19.85842295,1.4,0.175,10,0,22,6895,0.29045217
2.03E+02,1.806302759,1.4,0.175,10,0,35,6895,2.0170196
6.95E+01,62.36710207,1.4,0.175,50,0.5,22,6895,1.7653387
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,6895,2.3146747
6.95E+01,16.68935945,1.4,0.175,50,0.5,22,6895,1.7653387
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,3838,2.4205943
3.14E+03,1.806302759,1.4,0.175,1,0,74,6895,7.0598487
6.95E+01,1.806302759,500,0.175,0.9,0,22,6895,0.81694402
10,15,10,0.2,10,0.4,40,1305,1.07
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,7575,2.4205943
2.36E+01,1.806302759,1.4,0.175,0.8,0,10,6895,1.9362663
2.36E+01,1.806302759,1.4,0.175,1,0.475,10,6895,1.7653253
4.21E+00,46.46919029,1.4,0.175,0.3,0,22,6895,0.13615734
1.27E+03,16.68935945,1.4,0.175,50,0.5,60,6895,1.7653387
6.95E+01,1.806302759,1.4,0.175,10,0,22,2554,3.0255253
1.42E+04,1.806302759,1.4,0.175,30,0,100,6895,4.2454868
6.95E+01,1.806302759,1.4,0.175,0.3,0,22,770,2.6626536
6.95E+01,23.07644806,1.4,0.175,10,0,22,6895,0.24075475
1.42E+04,1.806302759,1.4,0.175,0.3,0,100,6895,6.0514856
4.21E+00,1.806302759,1.4,0.175,1,0,22,6895,3.4289865
1.35E+03,1.806302759,1.4,0.175,5,0,61,6895,3.2786687
6.95E+01,1.806302759,1.4,0.175,10,0,22,6895,2.5198184
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
